Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"bridge-partnership.com","","pdc.dk"
"bridgeheadsoftware.com","","peak-wind.com"
"bridgeway-consulting.co.uk","","pelagobio.com"
"briggsandforrester.co.uk","","pemapartner.se"
"brightgen.com","","pentia.dk"
"brindlegreen.co.uk","","perido.se"
"bris.se","","peytz.dk"
"british-assessment.co.uk","","pharmaq.com"
"britishengineeringservices.co.uk","","pharmarelations.com"
"brixkamp.dk","","phdmedia.com"
"brookbanks.com","","pkf.no"
"brovanture.com","","plan-norge.no"
"brunnbergoforshed.se","","plansverige.org"
"brunswickgroup.com","","plantvision.se"
"brutonknowles.co.uk","","polk.com"
"bsgltd.co.uk","","positivethinking.tech"
"bst-ark.fi","","ppd.com"
"bsv.se","","preciofishbone.se"
"bsw-exeter.co.uk","","prevas.com"
"bto.org","","prgx.com"
"bts.com","","princes-trust.org.uk"
"bts.se","","proact.eu"
"bullproducts.co.uk","","proagrica.com"
"bunnyfoot.com","","prodataconsult.com"
"burgessgroup.co.uk","","productlife-group.com"
"burofour.com","","profitbase.com"
"businessdoctors.co.uk","","prohoc.fi"
"businessoulu.com","","projective.co.uk"
"butlerandyoung.co.uk","","prokura.dk"
"butterworth-labs.co.uk","","promis.no"
"buttress.net","","proneo.no"
"buusjensen.dk","","psg.eu.com"
"buzzacott.co.uk","","ptw.com"
"bya.co.uk","","publicisgroupe.com"
"bybrick.se","","publicissapient.com"
"bylero.se","","pulsen.se"
"byrnelooby.com","","punainenristi.fi"
"bytes.co.uk","","pwc.com"
"c3ia.co.uk","","pwc.fi"
"c4projects.co.uk","","pwc.ie"
"c5alliance.com","","pwc.se"
"caa.co.uk","","q.group"
"cad21.co.uk","","qpr.com"
"cadenceinnova.com","","qqfs.com"
"cag.se","","qt.io"
"calcinotto.co.uk","","qualitestgroup.com"
"caldwellconsulting.net","","quantservice.com"
"calluna.se","","queue-it.com"
"camatec.se","","qvantel.com"
"cambridge-design.com","","qvik.fi"
"cambridgecognition.com","","r3.se"
"camecon.com","","raddabarnen.se"
"camelotgroup.co.uk","","rannis.is"
"camhcr.com","","rantalainen.fi"
"camlingroup.com","","raptorsmartadvisor.com"
"campbellreith.com","","reaktor.com"
"campden.co.uk","","recipharm.com"
"camwood.com","","redassociates.com"
"can.ltd.uk","","redbarnet.dk"
"candc-uk.com","","redcross.org.uk"
"capasystems.com","","reddbarna.no"
"capco.com","","remeo.fi"
"capgemini.com","","revideco.se"
"capito.co.uk","","revisorkollegiet.no"
"capraconsulting.no","","ri.dk"
"capventis.com","","ri.se"
"caratsbyeric.com","","rnib.org.uk"
"cardiff.ac.uk","","rodakorset.se"
"careers.zoopla.co.uk","","rodekors.dk"
"caretower.com","","rodekors.no"
"carmel-group.co.uk","","ronslev.dk"
"carmenta.com","","rotterdamacademy.nl"
"carnallfarrar.com","","rspca.org.uk"
"carpenterbox.com","","rudpedersen.com"
"carrentals.co.uk","","rumbline.se"
"carterjonas.co.uk","","rws.com"
"cartertowler.co.uk","","rystadenergy.com"
"cassidyashton.co.uk","","s-revision.dk"
"cast-consultancy.com","","s360digital.com"
"castons.com","","sagarr.no"
"castra.se","","samlink.fi"
"catalyst-group.com","","sanger.ac.uk"
"catapult.org.uk","","sanquin.nl"
"cathiegroup.com","","saxion.nl"
"cau.arch.cam.ac.uk","","schultz.dk"
"caulmert.com","","scilifelab.se"
"caverion.com","","sdc.dk"
"cbg.com","","seavus.com"
"cbrain.dk","","sectra.com"
"cbre.co.uk","","sei.org"
"cbtax.co.uk","","sensio.no"
"ccdc.cam.ac.uk","","sexogsamfund.dk"
"cceng.co.uk","","sf.se"
"ccground.co.uk","","sgi.se"
"cci-int.com","","sgs.com"
"ccoarch.com","","shape.dk"
"cda-group.co.uk","","sharecat.com"
"cdl.co.uk","","shortcut.no"
"cds.co.uk","","sida.se"
"cebraarchitecture.dk","","siili.fi"
"cecenvironment.co.uk","","simcorp.dk"
"cedar-bay.com","","simplifai.ai"
"cedervallarkitekter.se","","simula.no"
"cegal.com","","sinch.com"
"ceh.ac.uk","","siwi.org"
"cej.fi","","skb.se"
"celerity-is.com","","skogforsk.se"
"celestra.co.uk","","skretting.com"
"cellmark.com","","skye.no"
"cemas.co.uk","","skyfri.com"
"censuswide.com","","smals.be"
"centamin.com","","smartum.fi"
"centara-ltd.com","","snpgroup.com"
"centerpoint.no","","sofigate.com"
"centerprise.co.uk","","softhouse.se"
"centigo.se","","softronic.se"
"centiq.co.uk","","solita.fi"
"centregreat.co.uk","","solteq.com"
"centric.eu","","sonat.se"
"centriqgroup.com","","sonderuprevisorer.dk"
"cepa.co.uk","","sos-barnbyar.se"
"cfa-archaeology.co.uk","","spinverse.com"
"cffertilisers.co.uk","","sprint.no"
"cfl.dk","","sptgroup.com"
"cfmoller.com","","ssg.se"
"cfp-architects.com","","startvaekst.dk"
"cgg.com","","stockholmresilience.org"
"cgl-uk.com","","stratiteq.com"
"cgrgroup.com","","strise.ai"
"chalmers.se","","structor.se"
"chambers.com","","strusoft.com"
"championgroup.co.uk","","svarlifescience.com"
"championsukplc.com","","swarco.com"
"changegroup.dk","","swedoaid.org"
"changepond.com","","swerim.se"
"channel3group.co.uk","","syke.fi"
"chaplinfarrant.com","","sylog.se"
"charltonbrown.com","","syntell.se"
"chartwell-consulting.com","","systemate.dk"
"chas.se","","systematic.com"
"chathamhouse.org","","tacton.com"
"chematur.se","","talenom.fi"
"chesstelecom.com","","talogtanker.dk"
"chetwoods.com","","talokeskus.fi"
"chiene.co.uk","","tata.com"
"chipside.com","","tcd.ie"
"chooseportal.com","","techstep.no"
"chq-architects.co.uk","","telemarksforsking.no"
"christophersmithassociates.co.uk","","teleplanconsulting.no"
"chyp.com","","teodoliten.se"
"ciklum.com","","testhuset.dk"
"cilantroeng.co.uk","","tetratech.com"
"cimlogic.co.uk","","tfscro.com"
"cinimodstudio.com","","theac.no"
"cipartners.dk","","thehackettgroup.com"
"cips.org","","thema.no"
"cisilion.com","","themission.co.uk"
"citation.co.uk","","thl.fi"
"citrus.fi","","thranekaer.dk"
"citychangemanagement.co.uk","","tiatechnology.com"
"civica.co.uk","","tiera.fi"
"civicengineers.com","","tietoakseli.fi"
"cjassociates.co.uk","","tietoevry.com"
"cjcit.com","","tilburguniversity.edu"
"cjctstudios.com","","tilitkarppinen.fi"
"clague.co.uk","","tjekrevision.dk"
"clan.co.uk","","tno.nl"
"clancy.co.uk","","tobiidynavox.com"
"clanwilliamgroup.com","","toi.no"
"claranet.co.uk","","transcendentgroup.com"
"clarasys.com","","triathlon.se"
"claremontgi.com","","trustworks.dk"
"clarity.co.uk","","tsgroup.com"
"clarivate.com","","ttl.fi"
"clarkcomputers.co.uk","","tudelft.nl"
"class-technology.co.uk","","uantwerpen.be"
"clearwaterinternational.com","","ucc.ie"
"clever-touch.com","","ucd.ie"
"clientsolutions.ie","","udghealthcare.com"
"clinigengroup.com","","ui.se"
"clinisys.co.uk","","ul.ie"
"clinton.se","","ulb.ac.be"
"clock.co.uk","","ulstein.com"
"closeltd.co.uk","","umain.com"
"cloud.orange-business.com","","umoeconsulting.no"
"cloudbusiness.com","","unicef.no"
"cloudcall.com","","unicef.se"
"cmcpartnership.com","","uniconsult.no"
"cmedresearch.com","","upheads.no"
"cmg-change.com","","us.milliman.com"
"cmi.no","","uva.nl"
"cml.uk.com","","vahittaiskaupantilipalvelu.fi"
"cms-pi.com","","vaimo.com"
"cn3.dk","","vainu.io"
"coady.ie","","valagroup.com"
"cobe.dk","","valcon.com"
"cobrabio.com","","valcon.dk"
"coderus.com","","valtech.com"
"coffeyarchitects.com","","velas.dk"
"cogentassociates.ie","","venzo.com"
"cognite.com","","verona.fi"
"cognizant.com","","vertica.dk"
"cognosis.co.uk","","vib.be"
"coleeasdon.com","","vincit.fi"
"collectivearchitecture.com","","vinnova.se"
"collierpickard.co.uk","","visionite.se"
"collinsdb.co.uk","","vison.fi"
"collinsongrant.com","","vitecsoftware.com"
"columbiaroad.com","","vkst.dk"
"columbusglobal.com","","volkerwessels.co.uk"
"comatec.fi","","voluntasgroup.com"
"combine.dk","","voyado.com"
"combinedx.com","","vr.se"
"comcen.co.uk","","vti.se"
"comms-care.com","","wapice.fi"
"companyoung.com","","watermangroup.com"
"compasspathways.com","","waternet.nl"
"compsoft.co.uk","","welado.fi"
"computas.com","","wellcome.org"
"computerservicecentre.com","","wepe.no"
"computertalk.co.uk","","whitecase.com"
"comtact.co.uk","","who-umc.org"
"concentrix.com","","wikstromvvskontroll.se"
