Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
Devoteam(devoteam.com),it management,saas operations management,95
Diakonissalaitos(hdl.fi),cloud,enterprise cloud,76
Dictu(dictu.nl),it management,saas operations management,97
Dof(dofsubsea.com),it management,saas operations management,84
Dublin City University(dcu.ie),it management,technology design & architecture,65
Dublin City University(dcu.ie),contracts,engineering procurement and construction (epc),89
Dublin City University(dcu.ie),product development & qa,adaptive project management and reporting,71
Dublin City University(dcu.ie),cloud,enterprise cloud,62
Dublin City University(dcu.ie),it management,saas operations management,85
Duff & Phelps(duffandphelps.com),product development & qa,project management,73
Duff & Phelps(duffandphelps.com),it management,saas operations management,71
Duff & Phelps(duffandphelps.com),product development & qa,project collaboration,93
Duff & Phelps(duffandphelps.com),"budgeting, planning & strategy",resource allocation,65
Dunnhumby(dunnhumby.com),performance,performance measurement,94
Dynata(dynata.com),it management,saas operations management,91
Dynata(dynata.com),cloud,enterprise cloud,76
Element Materials Technology(element.com),it management,saas operations management,91
Elsevier(elsevier.com),it management,saas operations management,80
Elsevier(elsevier.com),performance,performance measurement,91
Elsevier(elsevier.com),cloud,enterprise cloud,93
Emergn(emergn.com),cloud,enterprise cloud,62
Endava(endava.com),it management,technology design & architecture,68
Endava(endava.com),it management,on-premise applications,62
Endava(endava.com),"budgeting, planning & strategy",resource tracking,78
Energysolutions(energysolutions.com),analytics & reporting,business intelligence,73
Energysolutions(energysolutions.com),it management,saas operations management,98
Enghouse Interactive(enghouseinteractive.com),it management,saas operations management,94
Ensco Plc(enscoplc.com),business finance,project finance,78
Ensco Plc(enscoplc.com),it management,saas operations management,87
Ensono(ensono.com),it management,saas operations management,100
Era Group - Global(expensereduction.com),it management,saas operations management,99
Esko(esko.com),it management,saas operations management,80
Euromoney Institutional Investor(euromoneyplc.com),it management,saas operations management,91
Evalueserve(evalueserve.com),performance,performance management,62
Evalueserve(evalueserve.com),product development & qa,project management,89
Evalueserve(evalueserve.com),business finance,financial management services,84
Evalueserve(evalueserve.com),business finance,project finance,91
Evalueserve(evalueserve.com),contracts,engineering procurement and construction (epc),80
Evalueserve(evalueserve.com),it management,technology design & architecture,84
Evalueserve(evalueserve.com),business solutions,project management software,84
Evalueserve(evalueserve.com),it management,saas operations management,65
Expleo Group(expleogroup.com),it management,saas operations management,82
Ey(ey.com),cloud,cloud architect,73
Ey(ey.com),"budgeting, planning & strategy",resource allocation,73
Ey(ey.com),product development & qa,adaptive project management and reporting,68
Ey(ey.com),business solutions,project management software,65
Ey(ey.com),performance,performance measurement,71
Ey(ey.com),contracts,engineering procurement and construction (epc),94
Ey(ey.com),operations,erp transformation,89
Ey(ey.com),"budgeting, planning & strategy",resource tracking,94
Ey(ey.com),it management,saas operations management,84
Ey(ey.com),it management,on-premise applications,87
Ey(ey.com),it management,technology design & architecture,62
Ey(ey.com),"budgeting, planning & strategy",lean project management,73
Financial Software Systems(iongroup.com),it management,saas operations management,76
Fiserv(fiserv.com),business solutions,project management software,68
Fiserv(fiserv.com),"budgeting, planning & strategy",project delivery method,82
Fiserv(fiserv.com),"budgeting, planning & strategy",lean project management,89
Fiserv(fiserv.com),performance,performance management,76
Fiserv(fiserv.com),performance,performance measurement,78
Fiserv(fiserv.com),it management,saas operations management,87
Fiserv(fiserv.com),it management,technology design & architecture,65
Flex(flex.com),it management,saas operations management,84
Flex(flex.com),cloud,enterprise cloud,73
Flex(flex.com),other,construction erp,76
Flex(flex.com),performance,performance measurement,71
Fmc Corporation(fmc.com),translation & language,localization project management,94
Fmc Corporation(fmc.com),it management,saas operations management,76
Fmc Corporation(fmc.com),business finance,financial management services,62
Foi(foi.se),cloud,enterprise cloud,76
Forensic Risk Alliance(forensicrisk.com),it management,saas operations management,90
